name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
AERWYNA,Spacecraft,SAR_Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;LEOP;Nominal_Sun;Nominal_Eclipse;Manoeuvre;Safe;EOL;Lifetime;Cost;Altitude;Inclination;LTDN;Period;Revisit;Dry_Mass;Wet_Mass;Total_Mass_Both_sats;Operational_Power;Standby_Power;Safe_Power;Leader_S1A_Along_Track_Distance;Follower_S1A_Along_Track_Distance;Number_of_Launchers;Svalbard;Troll;Punto_Areans;McMurdo;func-0;func-1;func-1;func-0;func-1;func-1;func-2;func-3;func-3;func-4;func-LEOP;func-Safe,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,MIS_003;MIS_004;MIS_016;MIS_021,NONE,NONE,NONE,NONE
SAR_Payload,Payload,SAR_Unit;SAR_Electronics,NONE,NONE,NONE,NONE,NONE,NONE,1,SAR,MIS_002;MIS_012;MIS_017;MIS_018;MIS_012;MIS_010;MIS_011;MIS_012,NONE,NONE,NONE,NONE
AOCS,AOCS,IMU;Star_Trackers;Sun_Sensor;GNSS_Receiver;Reaction_Wheels;Magnetorquers;Actuator_Drive_Electronics;Formation_Accurcay,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,MIS_013;MIS_014;MIS_015;MIS_024,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Power_Distribution_Module;Li_ion_Batteries;Solar_Array_Mechansim;Y_Plus_Solar_Array;Y_Minus_Solar_Array,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Heat_Pipes;Main_Radiator;SAR_Radiator;Heaters,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,Ka_Band_Security_Module;Ka_Band_MODEM;Ka_Band_Transmitter;Ka_Band_Antenna;S_Band_Security_Module;S_Band_MODEM;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,MIS_019,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Propellant_Tank;Pressurant_Tank;Filter;Fill_and_Drain_Valve;Pressure_Transducers;20N_Manoeuvre_Thrusters;1N_ACS_Thrusters;Total_Delta_V,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBDH,OBDH,Cross_Strap_Onboard_Computer;Mass_Memory;CAN_Data_Bus;Spacewire;UART,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Cross_Strap_Onboard_Computer,Onboard_Computer,NONE,Power_Bus,Spacewire;CAN_Data_Bus,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Mass_Memory,Solid_State_Recorder,NONE,Power_Bus,Spacewire,NONE,NONE,NONE,NONE,3,NONE,NONE,NONE,NONE,NONE,NONE
CAN_Data_Bus,Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,CAN,NONE,NONE,NONE,NONE,NONE
Spacewire,Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
UART,Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
SAR_Unit,Payload_Unit,NONE,SAR_Electronics,SAR_Electronics,NONE,NONE,Heat_Pipes,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
SAR_Electronics,Payload_Electronics,NONE,Power_Bus,CAN_Data_Bus,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Heat_Pipes,Heat_Pipe,Heat_Pipe_Length,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Main_Radiator,Radiator,Main_Radiator_Area,NONE,NONE,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
SAR_Radiator,Radiator,SAR_Radiator_Area,NONE,NONE,NONE,NONE,Heat_Pipes,NONE,1,SAR,NONE,NONE,NONE,NONE,NONE
Heaters,Heater,NONE,Power_Bus,NONE,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
IMU,IMU,NONE,Power_Bus,CAN_Data_Bus,NONE,NONE,Heat_Pipes,NONE,6,NONE,NONE,NONE,NONE,NONE,NONE
Actuator_Drive_Electronics,IO_remote_data_processing_and_power_distribution_board,NONE,Power_Bus,CAN_Data_Bus;UART,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Star_Trackers,Star_Tracker,NONE,Power_Bus,CAN_Data_Bus,NONE,NONE,Heat_Pipes,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Sun_Sensor,Sun_Sensor,NONE,Power_Bus,CAN_Data_Bus,NONE,NONE,Heat_Pipes,NONE,10,NONE,NONE,NONE,NONE,NONE,NONE
GNSS_Receiver,GNSS_Receiver,NONE,Power_Bus,CAN_Data_Bus,NONE,NONE,Heat_Pipes,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Reaction_Wheels,Reaction_Wheel,NONE,Power_Bus,UART,NONE,NONE,Heat_Pipes,NONE,4,NONE,NONE,NONE,NONE,NONE,NONE
Magnetorquers,Magnetorquer,NONE,Power_Bus,UART,NONE,NONE,Heat_Pipes,NONE,3,NONE,NONE,NONE,NONE,NONE,NONE
Propellant_Tank,Tank,Propellant_Tank_Volume,NONE,NONE,NONE,NONE,Heat_Pipes,NONE,2,Propellant,NONE,NONE,NONE,NONE,NONE
Pressurant_Tank,Tank,Pressurant_Tank_Volume,NONE,NONE,NONE,Propellant_Tank,Heat_Pipes,NONE,1,Pressurant,NONE,NONE,NONE,NONE,NONE
Filter,Filter,NONE,NONE,NONE,NONE,Propellant_Tank,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Fill_and_Drain_Valve,Valve,NONE,NONE,NONE,NONE,Filter,NONE,NONE,3,Fill_and_Drain,NONE,NONE,NONE,NONE,NONE
Pressure_Transducers,Pressure_Transducer,NONE,NONE,NONE,NONE,Filter,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
20N_Manoeuvre_Thrusters,Thruster,20N_Thrust,NONE,NONE,NONE,Pressure_Transducers,NONE,NONE,7,NONE,NONE,NONE,NONE,NONE,NONE
1N_ACS_Thrusters,Thruster,1N_Thrust,NONE,NONE,NONE,Pressure_Transducers,NONE,NONE,14,NONE,NONE,NONE,NONE,NONE,NONE
Power_Distribution_Module,PCDU,NONE,Power_Bus,CAN_Data_Bus,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Li_ion_Batteries,Battery,NONE,Power_Distribution_Module,NONE,NONE,NONE,Heat_Pipes,NONE,5,NONE,NONE,NONE,NONE,NONE,NONE
Solar_Array_Mechansim,Solar_Array_Actuator,NONE,Power_Bus,NONE,NONE,NONE,Heat_Pipes,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Y_Plus_Solar_Array,Solar_Array,Solar_Array_Area_1,Power_Distribution_Module,NONE,Solar_Array_Mechansim,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Y_Minus_Solar_Array,Solar_Array,Solar_Array_Area_2,Power_Distribution_Module,NONE,Solar_Array_Mechansim,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Bus,Power_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Ka_Band_Security_Module,Security_Module,NONE,Power_Bus,Cross_Strap_Onboard_Computer,NONE,NONE,Heat_Pipes,NONE,1,Ka_Band,NONE,NONE,NONE,NONE,NONE
Ka_Band_MODEM,Modem,NONE,Power_Bus,Ka_Band_Security_Module,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Ka_Band_Transmitter,Transmitter,Ka_Band_downlink_Rate,Power_Bus,Ka_Band_Security_Module,NONE,NONE,Heat_Pipes,NONE,1,Ka_Band,NONE,NONE,NONE,NONE,NONE
Ka_Band_Antenna,Antenna,NONE,NONE,Ka_Band_Transmitter,NONE,NONE,NONE,NONE,1,Ka_Band,NONE,NONE,NONE,NONE,NONE
Antenna_Pointing_Mechanism,Antenna_Pointing_Mechanism,NONE,NONE,Ka_Band_Transmitter,Ka_Band_Antenna,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
S_Band_Security_Module,Security_Module,NONE,Power_Bus,Cross_Strap_Onboard_Computer,NONE,NONE,Heat_Pipes,NONE,1,S_Band,NONE,NONE,NONE,NONE,NONE
S_Band_MODEM,Modem,NONE,Power_Bus,S_Band_Security_Module,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
S_Band_Transciever,Transciever,S_Band_Rate,Power_Bus,S_Band_Security_Module,NONE,NONE,Heat_Pipes,NONE,2,S_Band,NONE,NONE,NONE,NONE,NONE
S_Band_Antenna,Antenna,NONE,NONE,S_Band_Transmitter,NONE,NONE,NONE,NONE,2,S_Band,NONE,NONE,NONE,NONE,NONE
LEOP,LEOP,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Nominal_Sun,Nominal,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Nominal_Eclipse,Nominal,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Manoeuvre,Manoeuvre,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Safe,Safe,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
EOL,Decommissioning,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,MIS_022;MIS_023,NONE,NONE,NONE,NONE
Lifetime,Lifetime,NONE,NONE,NONE,NONE,NONE,NONE,5,1,NONE,MIS_001,SAR_Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Cross_Strap_Onboard_Computer;Mass_Memory;CAN_Data_Bus;Spacewire;UART;SAR_Unit;SAR_Electronics;Heat_Pipes;Main_Radiator;SAR_Radiator;Heaters;IMU;Actuator_Drive_Electronics;Star_Trackers;Sun_Sensor;GNSS_Receiver;Reaction_Wheels;Magnetorquers;Propellant_Tank;Pressurant_Tank;Filter;Fill_and_Drain_Valve;Pressure_Transducers;20N_Manoeuvre_Thrusters;1N_ACS_Thrusters;Power_Distribution_Module;Li_ion_Batteries;Solar_Array_Mechansim;Y_Plus_Solar_Array;Y_Minus_Solar_Array;Power_Bus;Ka_Band_Security_Module;Ka_Band_MODEM;Ka_Band_Transmitter;Ka_Band_Antenna;Antenna_Pointing_Mechanism;S_Band_Security_Module;S_Band_MODEM;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE
Cost,Cost,NONE,NONE,NONE,NONE,NONE,NONE,322,1,NONE,NONE,SAR_Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Cross_Strap_Onboard_Computer;Mass_Memory;CAN_Data_Bus;Spacewire;UART;SAR_Unit;SAR_Electronics;Heat_Pipes;Main_Radiator;SAR_Radiator;Heaters;IMU;Actuator_Drive_Electronics;Star_Trackers;Sun_Sensor;GNSS_Receiver;Reaction_Wheels;Magnetorquers;Propellant_Tank;Pressurant_Tank;Filter;Fill_and_Drain_Valve;Pressure_Transducers;20N_Manoeuvre_Thrusters;1N_ACS_Thrusters;Power_Distribution_Module;Li_ion_Batteries;Solar_Array_Mechansim;Y_Plus_Solar_Array;Y_Minus_Solar_Array;Power_Bus;Ka_Band_Security_Module;Ka_Band_MODEM;Ka_Band_Transmitter;Ka_Band_Antenna;Antenna_Pointing_Mechanism;S_Band_Security_Module;S_Band_MODEM;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE
Altitude,Altitude,NONE,NONE,NONE,NONE,NONE,NONE,693,1,NONE,MIS_005,NONE,NONE,NONE,NONE
Inclination,Inclination,NONE,NONE,NONE,NONE,NONE,NONE,98.1,1,NONE,MIS_005,NONE,NONE,NONE,NONE
LTDN,LTDN,NONE,NONE,NONE,NONE,NONE,NONE,1800,1,NONE,MIS_005,NONE,NONE,NONE,NONE
Period,Period,NONE,NONE,NONE,NONE,NONE,NONE,98.6,1,NONE,MIS_005,NONE,NONE,NONE,NONE
Revisit,Revisit,NONE,NONE,NONE,NONE,NONE,NONE,12,1,NONE,NONE,Altitude;Inclination;LTDN;Period,NONE,NONE,NONE
Dry_Mass,Mass,NONE,NONE,NONE,NONE,NONE,NONE,816,1,Dry,NONE,SAR_Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Cross_Strap_Onboard_Computer;Mass_Memory;CAN_Data_Bus;Spacewire;UART;SAR_Unit;SAR_Electronics;Heat_Pipes;Main_Radiator;SAR_Radiator;Heaters;IMU;Actuator_Drive_Electronics;Star_Trackers;Sun_Sensor;GNSS_Receiver;Reaction_Wheels;Magnetorquers;Propellant_Tank;Pressurant_Tank;Filter;Fill_and_Drain_Valve;Pressure_Transducers;20N_Manoeuvre_Thrusters;1N_ACS_Thrusters;Power_Distribution_Module;Li_ion_Batteries;Solar_Array_Mechansim;Y_Plus_Solar_Array;Y_Minus_Solar_Array;Power_Bus;Ka_Band_Security_Module;Ka_Band_MODEM;Ka_Band_Transmitter;Ka_Band_Antenna;Antenna_Pointing_Mechanism;S_Band_Security_Module;S_Band_MODEM;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE
Wet_Mass,Mass,NONE,NONE,NONE,NONE,NONE,NONE,962,1,Wet,NONE,SAR_Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Cross_Strap_Onboard_Computer;Mass_Memory;CAN_Data_Bus;Spacewire;UART;SAR_Unit;SAR_Electronics;Heat_Pipes;Main_Radiator;SAR_Radiator;Heaters;IMU;Actuator_Drive_Electronics;Star_Trackers;Sun_Sensor;GNSS_Receiver;Reaction_Wheels;Magnetorquers;Propellant_Tank;Pressurant_Tank;Filter;Fill_and_Drain_Valve;Pressure_Transducers;20N_Manoeuvre_Thrusters;1N_ACS_Thrusters;Power_Distribution_Module;Li_ion_Batteries;Solar_Array_Mechansim;Y_Plus_Solar_Array;Y_Minus_Solar_Array;Power_Bus;Ka_Band_Security_Module;Ka_Band_MODEM;Ka_Band_Transmitter;Ka_Band_Antenna;Antenna_Pointing_Mechanism;S_Band_Security_Module;S_Band_MODEM;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE
Total_Mass_Both_sats,Mass,NONE,NONE,NONE,NONE,NONE,NONE,2144,1,NONE,NONE,SAR_Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Cross_Strap_Onboard_Computer;Mass_Memory;CAN_Data_Bus;Spacewire;UART;SAR_Unit;SAR_Electronics;Heat_Pipes;Main_Radiator;SAR_Radiator;Heaters;IMU;Actuator_Drive_Electronics;Star_Trackers;Sun_Sensor;GNSS_Receiver;Reaction_Wheels;Magnetorquers;Propellant_Tank;Pressurant_Tank;Filter;Fill_and_Drain_Valve;Pressure_Transducers;20N_Manoeuvre_Thrusters;1N_ACS_Thrusters;Power_Distribution_Module;Li_ion_Batteries;Solar_Array_Mechansim;Y_Plus_Solar_Array;Y_Minus_Solar_Array;Power_Bus;Ka_Band_Security_Module;Ka_Band_MODEM;Ka_Band_Transmitter;Ka_Band_Antenna;Antenna_Pointing_Mechanism;S_Band_Security_Module;S_Band_MODEM;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE
Operational_Power,Power,NONE,NONE,NONE,NONE,NONE,NONE,1736,1,NONE,NONE,SAR_Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Cross_Strap_Onboard_Computer;Mass_Memory;CAN_Data_Bus;Spacewire;UART;SAR_Unit;SAR_Electronics;Heat_Pipes;Main_Radiator;SAR_Radiator;Heaters;IMU;Actuator_Drive_Electronics;Star_Trackers;Sun_Sensor;GNSS_Receiver;Reaction_Wheels;Magnetorquers;Propellant_Tank;Pressurant_Tank;Filter;Fill_and_Drain_Valve;Pressure_Transducers;20N_Manoeuvre_Thrusters;1N_ACS_Thrusters;Power_Distribution_Module;Li_ion_Batteries;Solar_Array_Mechansim;Y_Plus_Solar_Array;Y_Minus_Solar_Array;Power_Bus;Ka_Band_Security_Module;Ka_Band_MODEM;Ka_Band_Transmitter;Ka_Band_Antenna;Antenna_Pointing_Mechanism;S_Band_Security_Module;S_Band_MODEM;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE
Standby_Power,Power,NONE,NONE,NONE,NONE,NONE,NONE,1697,1,NONE,NONE,SAR_Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Cross_Strap_Onboard_Computer;Mass_Memory;CAN_Data_Bus;Spacewire;UART;SAR_Unit;SAR_Electronics;Heat_Pipes;Main_Radiator;SAR_Radiator;Heaters;IMU;Actuator_Drive_Electronics;Star_Trackers;Sun_Sensor;GNSS_Receiver;Reaction_Wheels;Magnetorquers;Propellant_Tank;Pressurant_Tank;Filter;Fill_and_Drain_Valve;Pressure_Transducers;20N_Manoeuvre_Thrusters;1N_ACS_Thrusters;Power_Distribution_Module;Li_ion_Batteries;Solar_Array_Mechansim;Y_Plus_Solar_Array;Y_Minus_Solar_Array;Power_Bus;Ka_Band_Security_Module;Ka_Band_MODEM;Ka_Band_Transmitter;Ka_Band_Antenna;Antenna_Pointing_Mechanism;S_Band_Security_Module;S_Band_MODEM;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE
Safe_Power,Power,NONE,NONE,NONE,NONE,NONE,NONE,963,1,NONE,NONE,SAR_Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Cross_Strap_Onboard_Computer;Mass_Memory;CAN_Data_Bus;Spacewire;UART;SAR_Unit;SAR_Electronics;Heat_Pipes;Main_Radiator;SAR_Radiator;Heaters;IMU;Actuator_Drive_Electronics;Star_Trackers;Sun_Sensor;GNSS_Receiver;Reaction_Wheels;Magnetorquers;Propellant_Tank;Pressurant_Tank;Filter;Fill_and_Drain_Valve;Pressure_Transducers;20N_Manoeuvre_Thrusters;1N_ACS_Thrusters;Power_Distribution_Module;Li_ion_Batteries;Solar_Array_Mechansim;Y_Plus_Solar_Array;Y_Minus_Solar_Array;Power_Bus;Ka_Band_Security_Module;Ka_Band_MODEM;Ka_Band_Transmitter;Ka_Band_Antenna;Antenna_Pointing_Mechanism;S_Band_Security_Module;S_Band_MODEM;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE
Total_Delta_V,Delta_V,NONE,NONE,NONE,NONE,NONE,NONE,345.88,1,NONE,NONE,Wet_Mass;Propulsion_Subsystem;Propellant_Tank;Pressurant_Tank;Filter;Fill_and_Drain_Valve;Pressure_Transducers;20N_Manoeuvre_Thrusters;1N_ACS_Thrusters,NONE,NONE,NONE
SAR_Radiator_Area,Area,NONE,NONE,NONE,NONE,NONE,NONE,1.84,1,NONE,NONE,NONE,NONE,NONE,NONE
Propellant_Tank_Volume,Volume,NONE,NONE,NONE,NONE,NONE,NONE,104,1,NONE,NONE,NONE,NONE,NONE,NONE
Pressurant_Tank_Volume,Volume,NONE,NONE,NONE,NONE,NONE,NONE,15.7,1,NONE,NONE,NONE,NONE,NONE,NONE
1N_Thrust,Thrust,NONE,NONE,NONE,NONE,NONE,NONE,1,1,NONE,NONE,NONE,NONE,NONE,NONE
