name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
AEOLUS,Spacecraft,Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Nominal_Operations_Mode;Orbit_Maintenance_and_Control_Mode;Disposal_Mode;Safe_Mode;Svalbard;McMurdo;Troll;Lifetime;LTAN;Altitude;Repeat_Cycle;Off_Nadir_Slew_Pointing_Angle;Payload_Power;Downlink_Duration;func-0;func-1;func-1;func-2;func-3;func-3;func-3;func-4;func-2;func-Orbit_Maintenance_and_Control_Mode;func-Safe_Mode,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,DES_010_R;DES_012_G;PAY_014_R,NONE,NONE,NONE,NONE
Payload,Payload,Main_Payload;Electronics_Units,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,PAY_013_R,NONE,NONE,NONE,NONE
AOCS,AOCS,Magnetorquers;Reaction_Wheels;Gyros;Magnetometers;Star_Trackers;Sun_Sensors,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,PCDU;Batteries;Photovoltaic_Panels;50V_Bus;28V_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Thermal_CPU;LCS_Radiator;Bus_Radiator;Heat_Pipes;Heaters,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,X_Band_Transmitter;X_Band_Antenna;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,OPS_009_R,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Filters_Post_Tanks;Propellant_Tank;Oxidiser_Tank;Filters_Pre_Tanks;Non_Return_Valves;High_Pressure_Transducer;Low_Pressure_Transducer;Pressurant_Tank,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBDH,OBDH,OBC;Onborad_Storage;Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBC,Onboard_Computer,NONE,28V_Bus,Onborad_Storage,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Onborad_Storage,Solid_State_Recorder,NONE,28V_Bus,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Data_Bus,Data_Bus,NONE,NONE,OBC,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
