name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
Svalbard,Ground_Station,NONE,NONE,S_Band_Antenna;X_Band_Antenna,NONE,NONE,NONE,NONE,1,NONE,DHS_019_R,NONE,NONE,NONE,NONE
McMurdo,Ground_Station,NONE,NONE,S_Band_Antenna;X_Band_Antenna,NONE,NONE,NONE,NONE,1,NONE,DHS_019_R,NONE,NONE,NONE,NONE
Lifetime,Lifetime,NONE,NONE,NONE,NONE,NONE,NONE,7,1,NONE,MIS_001_R;DES_011_G,Data_Storage;Computer;MIL_STD_1553B;X_Band_Transmitter;X_Band_Antenna;S_Band_Transciever;S_Band_Antenna;Main_Payload;Electronics_Units;Oxidizer_Tank;Propellant_Tank;Pressurant_Tank1;Pressurant_Tank2;Thrusters;Solar_Array;Array_Pionting_Mechanism;Battery;PCDU;Power_Bus;Heat_Pipes;Platform_Radiator;LCS_Radiator;IO_remote_data_processing_and_power_distribution_board;GPS;IMU;Star_Trackers;Magnetometers;Sun_Trackers;Reaction_Wheels;Magnetorquers,NONE,NONE,NONE
LTAN,LTAN,NONE,NONE,NONE,NONE,NONE,NONE,1800,1,NONE,MIS_002_R,NONE,NONE,NONE,NONE
Altitude,Altitude,NONE,NONE,NONE,NONE,NONE,NONE,379,1,NONE,MIS_003_R,NONE,NONE,NONE,NONE
Repeat_Cycle,Repeat_Cycle_time,NONE,NONE,NONE,NONE,NONE,NONE,8,1,NONE,MIS_004_R,Altitude,NONE,NONE,NONE
Off_Nadir_Slew_Pointing_Angle,Off_Nadir_Pointing_Angle,NONE,NONE,NONE,NONE,NONE,NONE,35,1,NONE,OPS_008_R,NONE,NONE,NONE,NONE
Payload_Power,Power,NONE,NONE,NONE,NONE,NONE,NONE,995,1,NONE,PAY_013_R,Main_Payload,NONE,NONE,NONE
Downlink_Duration,Downlink_Duration,NONE,NONE,NONE,NONE,NONE,NONE,2,1,NONE,DHS_018_R,Data_Storage;Computer;MIL_STD_1553B;X_Band_Transmitter;X_Band_Antenna;S_Band_Transciever;S_Band_Antenna;Svalbard;McMurdo,NONE,NONE,NONE
Pointing_Accuracy,Pointing_Accuracy,NONE,NONE,NONE,NONE,NONE,NONE,18,1,NONE,AOCS_021_R,NONE,NONE,NONE,NONE
func-0,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Decommissioning_FDomain;End_Of_Life_FDomain;Mode_FDomain;Design_Element_FDomain,MIS_005_R,NONE,NONE,Deorbit,AEOLUS
func-1,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Nominal_FDomain;Operational_FDomain;Mode_FDomain;Design_Element_FDomain,OPS_007_R,NONE,NONE,Nominal,AEOLUS
func-2,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Off_Nadir_Pointing_Angle_FDomain;Pointing_FDomain;Design_Element_FDomain,OPS_008_R,NONE,NONE,Orbital_Maintenance_and_Control;Nominal,AEOLUS
func-3,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Communications_FDomain;Transmitter_FDomain;Ground_Station_FDomain;Antenna_FDomain;Subsystem_FDomain;Design_Element_FDomain;Unit_FDomain;X_Band_FDomain;Downlink_Duration_FDomain,OPS_009_R;DHS_018_R;DHS_019_R,NONE,NONE,Nominal,AEOLUS;Communications
func-4,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,GNSS_Receiver_FDomain;AOCS_FDomain;Unit_FDomain;Design_Element_FDomain,AOCS_020_R,NONE,NONE,Nominal,AOCS;AEOLUS
func-LEOP,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,LEOP,NONE
func-Safe,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,Safe,NONE
