name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
ICARUS,Spacecraft,Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;Command_and_data_handling;Comissioning;Observation;Idle;Communication;Decommissioning;Non_Nominal;Altitude;LTAN;Period;SMA;Inclination;Eccentricity;Nominal_Power_Sunlight;Nominal_Power_Eclipse;Dry_Mass;Wet_Mass;Svalbard;Troll;Lifetime;Revisit_Time;Geo_Location_accuracy;Availability;Number_of_Launchers;func-0;func-1;func-2;func-3;func-Comissioning;func-Decommissioning,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Payload,Payload,Ground_Resolution;LST_Accuracy;Max_Observation_Latitude;Min_Observation_Latitude;Max_Observation_Local_Time;Min_Observation_Local_Time;Variation_of_Local_Time_of_Observation,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
AOCS,AOCS,Reaction_Wheels;Digital_Sun_Sensors;Stellar_Star_Trackers;Gyroscope;AOCS_Electronics;GNSS_Reciever;Three_Axis_stab_status,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Power_Conditioning_and_Distribution_Unit;Solar_Array_Drive_1;Solar_Array_Drive_2;Solar_Array_1;Solar_Array_2;Batteries,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Heat_Pipes;Radiator;Thermal_Control_Unit;Heater,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,S_Band_Transciever;S_Band_Antenna;X_Band_Transmitter;X_Band_Antenna,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Fill_and_Drain_Valve_1;Pressurant_Tank;Propellant_Tank_1;Propellant_Tank_2;Pressure_Transducer;Fill_and_Drain_Valve_2;Filter_1;Latch_Valve_1;Filter_2;Latch_Valve_2;1N_Thrusters,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Command_and_data_handling,OBDH,ICDE_NG;SSR,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Reaction_Wheels,Reaction_Wheel,Reaction_Wheel_Momentum;Pointing_Accuracy,AOCS_Electronics,NONE,NONE,NONE,Heat_Pipes,NONE,4,NONE,NONE,NONE,NONE,NONE,NONE
Digital_Sun_Sensors,Sun_Sensor,NONE,AOCS_Electronics,NONE,NONE,NONE,Heat_Pipes,NONE,10,NONE,NONE,NONE,NONE,NONE,NONE
