name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
AURAE,Spacecraft,Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Kiruna;Svalbard;Nominal;Eclipse;Safe;Rate_Reduction;EOL;Standby;SMA;Inclination;Eccentricity;AOP;Total_Dry_Mass;Total_Wet_Mass;Availability;Number_of_Launchers;func-0;func-0;func-0;func-0;func-0;func-1;func-Eclipse;func-Safe;func-Rate_Reduction;func-EOL;func-Standby,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Payload,Payload,Payload_Control_Unit;Payload_Unit;Payload_Mass;Payload_Power;FoV,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
AOCS,AOCS,AOCS_Data_Processing_and_Power_Distrubution_Unit;CMG;Star_Trackers;IMU;Fine_Sun_Sensor;Coarse_Sun_Sensor;Three_Axis_stab_status,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Solar_Array;SADM;PCDU;Lion_Batteries,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Heaters;Thermal_Control_Unit;MLI;Heat_Pipes;Thermostats;Radiator,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,S_Band_Transmitter;S_Band_Reciever;Diplexer;LNA;Low_gain_Patch_Antenna;X_Band_Transmitter;High_Gain_Horn_Antenna;APM,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Pressurant_FillDrain_Valve;Pressurant_Tank;Propellant_Tank_Latch_Valve;Propellant_Tank;Propellant_FillDrain_Valve;Thruster_Latch_Valve_1;Thruster_Latch_Valve_2;1N_Thruster;20N_thruster,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBDH,OBDH,OBC;HSDR;SpaceWire_Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBC,Onboard_Computer,NONE,Power_Bus,SpaceWire_Data_Bus,NONE,NONE,Heat_Pipes,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
HSDR,Solid_State_Recorder,NONE,Power_Bus,OBC,NONE,NONE,Heat_Pipes,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
