name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
AEOLUS,Spacecraft,Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Svalbard;McMurdo;Troll;Nominal;Safe;LEOP;EOL;Lifetime;LTAN;Altitude;Repeat_Cycle;Off_Nadir_Slew_Pointing_Angle;Payload_Power;Downlink_Duration;func-0;func-1;func-2;func-3;func-3;func-3;func-4;func-2;func-Safe;func-LEOP,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,DES_010_R;DES_012_G;PAY_014_R,NONE,NONE,NONE,NONE
Payload,Payload,Main_Payload;Electronics_Units,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,PAY_013_R,NONE,NONE,NONE,NONE
AOCS,AOCS,Star_Trakers;IMU;Magnetometer;GPS;Infrared_Earth_Sensor;Reaction_Wheels;Magnetorquers;ASTROgyro_Data_Processing_Unit;Digital_Processing_Unit;Remote_Terminal_Unit,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,PCDU;Batteries;Solar_Array_Drive_mechanism;Solar_Array;Power_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Temperature_Sensors;Heat_Pipes;Heater;Deployable_Radiator;PID_Controller,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,X_Band_Transmitter;X_Band_Antenna;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,OPS_009_R,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Xenon_Tank;Manifold;Gridded_Ion_Thruster;Thruster_Power_Processing_Unit;Flow_Control_Unit,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBDH,OBDH,Memory_Storage_Unit;Central_Processing_Unit;OBDH_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Memory_Storage_Unit,Solid_State_Recorder,NONE,Power_Bus,OBDH_Bus,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Central_Processing_Unit,Onboard_Computer,NONE,Power_Bus,OBDH_Bus,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
