name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
CMIR2,Spacecraft,Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Svalbard;Daylight_Access;Eclipse_Access;Daylight_Nominal;Eclipse_Nominal;Detumbling;Payload_Spinup;Safe;Deorbit;Lifetime;Cost;Altitude;Inclination;Period;MetOp_SG_Separation_Time;Max_Data_Latency;func-0;func-1;func-0;func-0;func-2;func-Detumbling;func-Payload_Spinup;func-Safe,NONE,NONE,NONE,NONE,NONE,NONE,2,NONE,MIS_006;MIS_007;MIS_009,NONE,NONE,NONE,NONE
Payload,Payload,Radiometer;Boom_Deployment_mechanism;BAPTA;Reflector;Feeder_Horn_Array,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,MIS_001;MIS_004;MIS_005,NONE,NONE,NONE,NONE
AOCS,AOCS,AOCS_Data_Processing_and_Power_Distrubution_Unit;Star_Trackers;Sun_Sensors;Gyroscope;Reaction_Wheels;Magnetometer;Magnetorquers,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Deployable_Solar_Arrays;Body_Mounted_Solar_Array;Batteries;Power_Distrubution_and_Control_Unit;Solar_Array_Drive_Mechanism;Power_Bus;Total_Solar_Array_Area;Total_EOL_Power,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Thermal_System_Control_Unit;Thermistors;Radiators;Heaters,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,S_Band_Transciever;X_Band_Transmitter;S_Band_Antenna;X_Band_Antenna,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,MIS_010,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Hydrazine_Tank;Helium;Valves;1N_Thruster;20N_Thruster;Total_Delta_V,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBDH,OBDH,Main_Computer;Data_storage;Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Main_Computer,Onboard_Computer,NONE,Power_Bus,Data_Bus,NONE,NONE,Ammonia_Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Data_storage,Solid_State_Recorder,Data_Storage_Capacity,Power_Bus,Main_Computer,NONE,NONE,Ammonia_Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
