name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
ODYSSEUS,Spacecraft,Payload;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Safe;Detumble;Deployment;Orbit_Control;Acquisition;Nominal;DeOrbit;Launch_Mass;Altitude;LTDN;Inclination;Period;True_Anomaly;Total_Power_Peak;Total_Power_Nominal;Leader_S1A_Along_Track_Distance;Follower_S1A_Along_Track_Distance;Svalbard;Troll;Punto_Areans;McMurdo;Number_of_Launchers;func-0;func-1;func-1;func-0;func-1;func-1;func-2;func-3;func-4;func-5;func-Safe;func-Detumble;func-Deployment;func-Acquisition,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,MIS_003;MIS_004;MIS_016;MIS_021,NONE,NONE,NONE,NONE
Payload,Payload,Payload_Actuator;Payload_Electronics;Payload_Unit,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,MIS_002;MIS_012;MIS_017;MIS_018;MIS_012,NONE,NONE,NONE,NONE
AOCS,AOCS,Gryroscopes;Star_Trackers;Sun_Sensor;GNSS_Receiver;Reaction_Wheels;Magnetorquers;Magnetometers;Formation_Accurcay,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,MIS_013;MIS_014;MIS_015;MIS_024,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Solar_Array;Secondary_Batteries;Solar_Array_Actuators;PCDU,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Temperature_Sensors;Patch_Heaters;Radiator,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,Antenna_Pointing_Mechanism;Ka_Band_Downlink_Transmitter;Parabolic_Antenna;Patch_Antenna;S_Band_TTC_Transceiver,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,MIS_019,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Propellant_Tank;Propellant_Tank_Thermal_Control;Manifold_Heat_and_Pressure_Sensors;Manifold_Control_System;Thruster_Valves;1N_thruster;20N_thruster;Delta_V,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBDH,OBDH,Data_Bus;Onboard_Computer;Mass_Memory,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Payload_Actuator,Payload_Actuator,NONE,PCDU,NONE,Payload_Unit,NONE,Heat_Pipes,NONE,1,NONE,MIS_010;MIS_011,NONE,NONE,NONE,NONE
Payload_Electronics,Payload_Electronics,NONE,PCDU,Data_Bus,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Payload_Unit,Payload_Unit,NONE,PCDU,Payload_Electronics,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Pressurant_Tank,Tank,NONE,NONE,NONE,NONE,Pressurant_Isolation_Valve,NONE,NONE,1,Pressurant,NONE,NONE,NONE,NONE,NONE
Pressurant_Isolation_Valve,Valve,NONE,NONE,NONE,NONE,Pressure_Regulator,NONE,NONE,1,Pressurant_Isolation,NONE,NONE,NONE,NONE,NONE
Propellant_Tank,Tank,Propellant_Mass,NONE,NONE,NONE,Filter,NONE,NONE,1,Propellant,NONE,NONE,NONE,NONE,NONE
Filter,Filter,NONE,NONE,NONE,NONE,Thruster_Isolation_Valves,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thruster_Isolation_Valves,Valve,NONE,NONE,NONE,NONE,1N_thruster;20N_thruster,NONE,NONE,1,Thruster_Isolation,NONE,NONE,NONE,NONE,NONE
Pressure_Regulator,Pressure_Regulator,NONE,NONE,NONE,NONE,Propellant_Tank,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Propellant_Tank_Thermal_Control,Propellant_Tank_Thermal_Control,NONE,PCDU,Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Manifold_Heat_and_Pressure_Sensors,Manifold_Heat_Sensor,NONE,PCDU,Data_Bus,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Manifold_Control_System,Manifold_Control_System,NONE,PCDU,Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thruster_Valves,Valve,NONE,PCDU,Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
1N_thruster,Thruster,1N_Thrust,NONE,NONE,NONE,NONE,NONE,NONE,12,NONE,NONE,NONE,NONE,NONE,NONE
20N_thruster,Thruster,20N_Thrust,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
