name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
S1_Wavemill,Spacecraft,Javelin_Instrument;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Commissioning;Over_Ocean;Over_Land;Safe;Manoeuvre;Decomissioning;Lifetime;Altitude;Inclination;LTAN;Wet_Mass;Power;Eccentricity;Kiruna;Kourou;Perth;Latency;Arctic_Revisit;TSCV_Revisit;func-0;func-0;func-0;func-0;func-1;func-2;func-3;func-4;func-0;func-0;func-5;func-6;func-6;func-6;func-7;func-8;func-7;func-9;func-10;func-10;func-10;func-10;func-10;func-11;func-12;func-13;func-14;func-15;func-16;func-Commissioning,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-SYS-030;R-SYS-060;R-SYS-070;R-SYS-110;R-PAY-010;R-PAY-070,NONE,NONE,NONE,NONE
Javelin_Instrument,Payload,Instrument_Control_Electronics;RF-IF_Front_End_Electronics;Payload_Mass,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-OBS-020;R-OBS-040;R-PAY-020;R-PAY-030;R-PAY-040;R-PAY-050;R-PAY-060;R-PAY-080;R-PAY-090,NONE,NONE,NONE,NONE
AOCS,AOCS,Data_Processing_and_Power_Distrubution_Unit;Star_Tracker;Sun_sensor;GPS;IMU;Reaction_Wheel,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-SYS-080;R-SYS-090;R-AOCS-010;R-AOCS-020;R-AOCS-030;R-AOCS-040;R-AOCS-050,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Solar_Array;SADM;Battery;100V_Power_Supply_Regulator;28V_Power_Supply_Regulator;100V_Power_Bus;28V_Power_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-PWR-010,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Heat_Pipes;Radiator;Heaters,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-THRM-010,NONE,NONE,NONE,NONE
Communications,Communications,S_Band_Patch_Antenna;S_Band_Helix_Antenna;S_Band_Recievers;2_Watt_Transmitter;4_Watt_Transmitter,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-TTC-010;R-TTC-020;R-TTC-060;R-TTC-110,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,ION_Thruster;Flow_Control;Xenon_Tank;Hydrazine_Tank;Hydrazine_Latch_valve;Hydrazine_Thruster;Total_Delta_V,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-PROP-010;R-PROP-020,NONE,NONE,NONE,NONE
OBDH,OBDH,Data_Storage_Unit;OBC;Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-SYS-100;R-CDH-010;R-CDH-020;R-CDH-030;R-CDH-070;R-CDH-080;R-CDH-090,NONE,NONE,NONE,NONE
Solar_Array,Solar_Array,Solar_Array_Area,100V_Power_Supply_Regulator;28V_Power_Supply_Regulator,NONE,SADM,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
SADM,Solar_Array_Actuator,NONE,100V_Power_Supply_Regulator;28V_Power_Supply_Regulator,Data_Bus,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
