name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
S2_Wavemill,Spacecraft,Javelin_Instrument;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;LEOP;Nominal;Safe;Arctic_Revisit;TSCV_Revisit;Wet_Mass;Power;Altitude;Inclination;Lifetime;Eccentricity;LTAN;Kourou;Redu;Manoeuvre;Decomissioning;func-0;func-0;func-0;func-1;func-2;func-3;func-4;func-0;func-5;func-6;func-6;func-6;func-7;func-8;func-9;func-10;func-11;func-11;func-11;func-11;func-11;func-12;func-13;func-14;func-15;func-16;func-17;func-LEOP,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-SYS-030;R-SYS-060;R-SYS-070;R-SYS-110;R-PAY-010;R-PAY-070,NONE,NONE,NONE,NONE
Javelin_Instrument,Payload,Insturment_Control;Instrument_Sar_Antenna;Payload_Mass;Payload_Power,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-OBS-020;R-OBS-040;R-PAY-020;R-PAY-030;R-PAY-040;R-PAY-050;R-PAY-060;R-PAY-080;R-PAY-090,NONE,NONE,NONE,NONE
AOCS,AOCS,AOCS_Flight_Computer;IMU;Reaction_Wheels;Star_Trackers;GPS;Sun_Sensors,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-SYS-080;R-SYS-090;R-AOCS-010;R-AOCS-020;R-AOCS-030;R-AOCS-040;R-AOCS-050,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Solar_Array;PCDU;Batteries;Power_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-PWR-010,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Thermal_Control;Heaters;Radiator,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-THRM-010,NONE,NONE,NONE,NONE
Communications,Communications,LCT;S_Band_Transmitter;S_Band_Reciever;S_Band_Antenna,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-TTC-010;R-TTC-020;R-TTC-060;R-TTC-110;R-TTC-110,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Propellant_Tank;Hydrazine_Thrusters;Total_Delta_V,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-PROP-010;R-PROP-020;R-PROP-010;R-PROP-020,NONE,NONE,NONE,NONE
OBDH,OBDH,OSCAR_OBC;Solid_State_Recorder;Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-SYS-100;R-CDH-010;R-CDH-020;R-CDH-030;R-CDH-070;R-CDH-080;R-CDH-090,NONE,NONE,NONE,NONE
OSCAR_OBC,Onboard_Computer,NONE,Power_Bus,Data_Bus,NONE,NONE,NONE,NONE,1,NONE,R-CDH-050;R-CDH-060,NONE,NONE,NONE,NONE
Solid_State_Recorder,Solid_State_Recorder,Data_Storage_Capacity,Power_Bus,Data_Bus,NONE,NONE,NONE,NONE,1,NONE,R-CDH-040;R-CDH-050,NONE,NONE,NONE,NONE
Data_Bus,Data_Bus,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-CDH-100,NONE,NONE,NONE,NONE
LCT,EDRS_Terminal,EDRS_Data_Rate,Power_Bus,Data_Bus,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
S_Band_Transmitter,Transmitter,Data_Downlink_Rate,Power_Bus,Data_Bus;S_Band_Antenna,NONE,NONE,NONE,NONE,2,S_Band,R-TTC-020;R-TTC-040,NONE,NONE,NONE,NONE
S_Band_Reciever,Reciever,Uplink_Rate,Power_Bus,Data_Bus;S_Band_Antenna,NONE,NONE,NONE,NONE,2,S_Band,R-TTC-020;R-TTC-040,NONE,NONE,NONE,NONE
S_Band_Antenna,Antenna,NONE,NONE,Kourou;Redu,NONE,NONE,NONE,NONE,2,S_Band,NONE,NONE,NONE,NONE,NONE
Kourou,Ground_Station,Downlink_Frequency;Uplink_Frequency,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-TTC-030;R-TTC-070;R-TTC-080;R-TTC-090;R-TTC-100,NONE,NONE,NONE,NONE
Redu,Ground_Station,Downlink_Frequency;Uplink_Frequency,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-TTC-030;R-TTC-070;R-TTC-080;R-TTC-090;R-TTC-100,NONE,NONE,NONE,NONE
Thermal_Control,Thermal_Control_Unit,NONE,Power_Bus,Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Heaters,Heater,NONE,Power_Bus,NONE,NONE,NONE,NONE,NONE,5,NONE,NONE,NONE,NONE,NONE,NONE
Radiator,Radiator,Radiator_Area,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Solar_Array,Solar_Array,Solar_Array_Area,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
PCDU,PCDU,NONE,Power_Bus,Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Batteries,Battery,NONE,NONE,NONE,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Power_Bus,Power_Bus,Bus_Voltage,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Insturment_Control,Payload_Electronics,NONE,Power_Bus,Data_Bus,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Instrument_Sar_Antenna,Payload_Unit,NONE,Insturment_Control,Insturment_Control,NONE,NONE,NONE,NONE,2,NONE,R-PAY-020;R-PAY-030;R-PAY-040,NONE,NONE,NONE,NONE
AOCS_Flight_Computer,IO_remote_data_processing_and_power_distribution_board,NONE,Power_Bus,Data_Bus,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
IMU,IMU,NONE,AOCS_Flight_Computer,AOCS_Flight_Computer,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Reaction_Wheels,Reaction_Wheel,NONE,AOCS_Flight_Computer,AOCS_Flight_Computer,NONE,NONE,NONE,NONE,4,NONE,NONE,NONE,NONE,NONE,NONE
Star_Trackers,Star_Tracker,Star_Tracker_Pointing_Knowledge,AOCS_Flight_Computer,AOCS_Flight_Computer,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
GPS,GNSS_Receiver,NONE,AOCS_Flight_Computer,AOCS_Flight_Computer,NONE,NONE,NONE,NONE,2,NONE,NONE,NONE,NONE,NONE,NONE
Sun_Sensors,Sun_Sensor,NONE,AOCS_Flight_Computer,AOCS_Flight_Computer,NONE,NONE,NONE,NONE,4,NONE,NONE,NONE,NONE,NONE,NONE
Propellant_Tank,Tank,Tank_Volume,NONE,NONE,NONE,Hydrazine_Thrusters,NONE,NONE,2,Propellant,NONE,NONE,NONE,NONE,NONE
Hydrazine_Thrusters,Thruster,Thurster_Thrust,Power_Bus,NONE,NONE,NONE,NONE,NONE,16,Hydrazine_s,NONE,NONE,NONE,NONE,NONE
LEOP,LEOP,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-AOCS-020;R-PROP-010,NONE,NONE,NONE,NONE
Nominal,Nominal,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Safe,Safe,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-SYS-040;R-SYS-050,NONE,NONE,NONE,NONE
Manoeuvre,Manoeuvre,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-AOCS-050,NONE,NONE,NONE,NONE
Decomissioning,Decommissioning,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,R-AOCS-050;R-PROP-020,NONE,NONE,NONE,NONE
Wet_Mass,Mass,NONE,NONE,NONE,NONE,NONE,NONE,1476.6,1,Wet,NONE,OSCAR_OBC;Solid_State_Recorder;Data_Bus;LCT;S_Band_Transmitter;S_Band_Reciever;S_Band_Antenna;Thermal_Control;Heaters;Radiator;Solar_Array;PCDU;Batteries;Power_Bus;Insturment_Control;Instrument_Sar_Antenna;AOCS_Flight_Computer;IMU;Reaction_Wheels;Star_Trackers;GPS;Sun_Sensors;Propellant_Tank;Hydrazine_Thrusters;Javelin_Instrument;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH,NONE,NONE,NONE
Power,Power,NONE,NONE,NONE,NONE,NONE,NONE,5897,1,NONE,NONE,OSCAR_OBC;Solid_State_Recorder;Data_Bus;LCT;S_Band_Transmitter;S_Band_Reciever;S_Band_Antenna;Thermal_Control;Heaters;Radiator;Solar_Array;PCDU;Batteries;Power_Bus;Insturment_Control;Instrument_Sar_Antenna;AOCS_Flight_Computer;IMU;Reaction_Wheels;Star_Trackers;GPS;Sun_Sensors;Propellant_Tank;Hydrazine_Thrusters;Javelin_Instrument;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH,NONE,NONE,NONE
Altitude,Altitude,NONE,NONE,NONE,NONE,NONE,NONE,518.6,1,NONE,R-SYS-020,NONE,NONE,NONE,NONE
Inclination,Inclination,NONE,NONE,NONE,NONE,NONE,NONE,97.5,1,NONE,NONE,NONE,NONE,NONE,NONE
Lifetime,Lifetime,NONE,NONE,NONE,NONE,NONE,NONE,5,1,NONE,R-SYS-010,OSCAR_OBC;Solid_State_Recorder;Data_Bus;LCT;S_Band_Transmitter;S_Band_Reciever;S_Band_Antenna;Thermal_Control;Heaters;Radiator;Solar_Array;PCDU;Batteries;Power_Bus;Insturment_Control;Instrument_Sar_Antenna;AOCS_Flight_Computer;IMU;Reaction_Wheels;Star_Trackers;GPS;Sun_Sensors;Propellant_Tank;Hydrazine_Thrusters;Javelin_Instrument;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH,NONE,NONE,NONE
Eccentricity,Eccentricity,NONE,NONE,NONE,NONE,NONE,NONE,0,1,NONE,NONE,NONE,NONE,NONE,NONE
LTAN,LTAN,NONE,NONE,NONE,NONE,NONE,NONE,1800,1,NONE,NONE,NONE,NONE,NONE,NONE
Bus_Voltage,Voltage,NONE,NONE,NONE,NONE,NONE,NONE,50,1,NONE,NONE,NONE,NONE,NONE,NONE
Payload_Mass,Mass,NONE,NONE,NONE,NONE,NONE,NONE,210.4,1,NONE,NONE,Insturment_Control;Instrument_Sar_Antenna;Javelin_Instrument,NONE,NONE,NONE
Payload_Power,Power,NONE,NONE,NONE,NONE,NONE,NONE,3765.2,1,NONE,NONE,Insturment_Control;Instrument_Sar_Antenna;Javelin_Instrument,NONE,NONE,NONE
Solar_Array_Area,Area,NONE,NONE,NONE,NONE,NONE,NONE,33,1,NONE,NONE,NONE,NONE,NONE,NONE
Radiator_Area,Area,NONE,NONE,NONE,NONE,NONE,NONE,8.7,1,NONE,NONE,NONE,NONE,NONE,NONE
Thurster_Thrust,Thrust,NONE,NONE,NONE,NONE,NONE,NONE,1,1,NONE,NONE,NONE,NONE,NONE,NONE
Tank_Volume,Volume,NONE,NONE,NONE,NONE,NONE,NONE,78,1,NONE,NONE,NONE,NONE,NONE,NONE
Total_Delta_V,Delta_V,NONE,NONE,NONE,NONE,NONE,NONE,145,1,NONE,NONE,Wet_Mass;Propellant_Tank;Hydrazine_Thrusters;Propulsion_Subsystem,NONE,NONE,NONE
Downlink_Frequency,Frequency,NONE,NONE,NONE,NONE,NONE,NONE,2260,1,NONE,NONE,Data_Downlink_Rate,NONE,NONE,NONE
Uplink_Frequency,Frequency,NONE,NONE,NONE,NONE,NONE,NONE,2260,1,NONE,NONE,Uplink_Rate,NONE,NONE,NONE
Data_Downlink_Rate,Data_Transfer_Rate,NONE,NONE,NONE,NONE,NONE,NONE,10,1,NONE,R-TTC-050,Javelin_Instrument;Data_Storage_Capacity,NONE,NONE,NONE
Uplink_Rate,Data_Transfer_Rate,NONE,NONE,NONE,NONE,NONE,NONE,0.192,1,NONE,R-TTC-050,NONE,NONE,NONE,NONE
EDRS_Data_Rate,Data_Transfer_Rate,NONE,NONE,NONE,NONE,NONE,NONE,1800,1,NONE,R-TTC-050,Javelin_Instrument;Data_Storage_Capacity;Data_Downlink_Rate,NONE,NONE,NONE
Data_Storage_Capacity,Data_Storage,NONE,NONE,NONE,NONE,NONE,NONE,20,1,NONE,NONE,NONE,NONE,NONE,NONE
TSCV_Revisit,Revisit,NONE,NONE,NONE,NONE,NONE,NONE,8,1,NONE,R-OBS-010,Altitude;Inclination;Eccentricity;LTAN,NONE,NONE,NONE
Arctic_Revisit,Revisit,NONE,NONE,NONE,NONE,NONE,NONE,0.92,1,NONE,R-OBS-030,Altitude;Inclination;Eccentricity;LTAN,NONE,NONE,NONE
Star_Tracker_Pointing_Knowledge,Pointing_Knowledge,NONE,NONE,NONE,NONE,NONE,NONE,24.984,1,NONE,R-AOCS-060,NONE,NONE,NONE,NONE
func-0,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Orbital_FDomain;Revisit_FDomain;Design_Element_FDomain;Payload_FDomain;Subsystem_FDomain;System_Components_FDomain,R-OBS-010;R-OBS-020;R-OBS-030;R-PAY-050,NONE,NONE,Nominal,Javelin_Instrument;OBDH;OSCAR_OBC;S2_Wavemill
func-1,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Operational_FDomain;Safe_FDomain;Mode_FDomain;Design_Element_FDomain,R-SYS-050,NONE,NONE,Safe,OBDH;OSCAR_OBC;S2_Wavemill
func-2,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-SYS-080,NONE,NONE,Nominal,AOCS;AOCS_Flight_Computer;IMU;Star_Trackers;GPS;Sun_Sensors;S2_Wavemill
func-3,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-SYS-090,NONE,NONE,Manoeuvre,AOCS;AOCS_Flight_Computer;IMU;Reaction_Wheels;Star_Trackers;GPS;Sun_Sensors;Propulsion_Subsystem;Hydrazine_Thrusters;S2_Wavemill
func-4,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,OBDH_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-SYS-100,NONE,NONE,Nominal,OBDH;OSCAR_OBC;S2_Wavemill
func-5,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Thermal_FDomain;Thermal_Subsystem_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-THRM-010,NONE,NONE,LEOP;Nominal;Safe;Manoeuvre;Decomissioning,Thermal_Subsystem;Thermal_Control;Heaters;Radiator;S2_Wavemill
func-6,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,AOCS_FDomain;Subsystem_FDomain;Design_Element_FDomain;LEOP_FDomain;Mode_FDomain;Pointing_FDomain,R-AOCS-020;R-AOCS-030;R-AOCS-040,NONE,NONE,Nominal,AOCS;AOCS_Flight_Computer;IMU;Reaction_Wheels;Star_Trackers;GPS;Sun_Sensors;S2_Wavemill
func-7,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Manoeuvre_FDomain;Decommissioning_FDomain;AOCS_FDomain;Mode_FDomain;Design_Element_FDomain;Subsystem_FDomain,R-AOCS-050,NONE,NONE,Manoeuvre,AOCS;AOCS_Flight_Computer;IMU;Reaction_Wheels;Star_Trackers;GPS;Sun_Sensors;S2_Wavemill
func-8,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,LEOP_FDomain;Propulsion_FDomain;Propulsion_Subsystem_FDomain;Mode_FDomain;Design_Element_FDomain;Subsystem_FDomain,R-PROP-010,NONE,NONE,Decomissioning,Propulsion_Subsystem;Propellant_Tank;Hydrazine_Thrusters;AOCS;AOCS_Flight_Computer;IMU;Reaction_Wheels;Star_Trackers;GPS;Sun_Sensors;S2_Wavemill
func-9,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Decommissioning_FDomain;Propulsion_FDomain;Propulsion_Subsystem_FDomain;Subsystem_FDomain;Design_Element_FDomain;Mode_FDomain,R-PROP-020,NONE,NONE,Decomissioning,Propulsion_Subsystem;Propellant_Tank;Hydrazine_Thrusters;AOCS;AOCS_Flight_Computer;IMU;Reaction_Wheels;Star_Trackers;GPS;Sun_Sensors;S2_Wavemill
func-10,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Power_FDomain;Power_Subsystem_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-PWR-010,NONE,NONE,LEOP;Nominal;Safe;Manoeuvre;Decomissioning,Power_Subsystem;Solar_Array;PCDU;Batteries;Power_Bus;S2_Wavemill
func-11,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Ground_Station_FDomain;Ground_Segment_FDomain;Subsystem_FDomain;Design_Element_FDomain;Comms_FDomain;Communications_FDomain;Transmitter_FDomain;Reciever_FDomain;Antenna_FDomain;Unit_FDomain;S_Band_FDomain,R-TTC-020;R-TTC-030;R-TTC-040;R-TTC-070;R-TTC-080,NONE,NONE,Nominal,Communications;LCT;S_Band_Transmitter;S_Band_Reciever;S_Band_Antenna;Kourou;Redu;S2_Wavemill
func-12,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,Ground_Station_FDomain;Ground_Segment_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-TTC-090,NONE,NONE,Nominal,Communications;LCT;S_Band_Transmitter;S_Band_Reciever;S_Band_Antenna;Kourou;Redu;S2_Wavemill
func-13,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,OBDH_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-CDH-010,NONE,NONE,LEOP;Nominal;Safe;Manoeuvre;Decomissioning,OBDH;OSCAR_OBC;S2_Wavemill
func-14,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,OBDH_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-CDH-020,NONE,NONE,LEOP;Nominal;Safe;Manoeuvre;Decomissioning,OBDH;OSCAR_OBC;S2_Wavemill
func-15,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,OBDH_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-CDH-030,NONE,NONE,LEOP;Nominal;Safe;Manoeuvre;Decomissioning,OBDH;OSCAR_OBC;S2_Wavemill
func-16,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,OBDH_FDomain;Onboard_Computer_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-CDH-080,NONE,NONE,Safe,OBDH;OSCAR_OBC;S2_Wavemill
func-17,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,OBDH_FDomain;Onboard_Computer_FDomain;Subsystem_FDomain;Design_Element_FDomain,R-CDH-090,NONE,NONE,LEOP;Nominal;Safe;Manoeuvre;Decomissioning,OBDH;OSCAR_OBC;S2_Wavemill
func-LEOP,Function,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,LEOP,NONE
