name,classifier,children,power_interfaces,data_interfaces,mechanical_interfaces,fluid_interfaces,thermal_interfaces,parameter_value,multiplicity,sub_class,related_requirement,hard_dependency,active_components,grouped_to,assigned_to
TI_REX,Spacecraft,Instrument;AOCS;Power_Subsystem;Thermal_Subsystem;Communications;Propulsion_Subsystem;OBDH;Day_Standby;Day_Safe_Mode;Day_Imaging_Mode;Day_Comms_Mode;Deorbit_Mode;Eclipse_Standby;Eclipse_Safe_Mode;Eclipse_Comms_Mode;Altitude;Inclination;Argument_of_Perigee;Eccentricity;LTAN;Period;SMA;Nominal_Power;Max_Power;Dry_Mass;Wet_Mass;Svalbard;Troll;Lifetime;Number_of_Launchers;Revisit_Time;Geo_Location_accuracy;Availability;func-0;func-1;func-2;func-3;func-Day_Standby;func-Eclipse_Standby;func-Eclipse_Safe_Mode,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Instrument,Payload,LST_Accuracy;Max_Observation_Latitude;Min_Observation_Latitude;Max_Observation_Local_Time;Min_Observation_Local_Time;Variation_of_Local_Time_of_Observation;SSD,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
AOCS,AOCS,IO_remote_data_processing_and_power_distribution_board;Magnetorquers;Magnetometer;GNSS_Reciever;Coarse_Sun_Sensor;Star_Tracker;Intertial_Measurement_Unit;Reaction_Wheels;Deployable_Boom;Three_Axis_stab_status,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Subsystem,Power_Subsystem,Solar_Array_1;Solar_Array_2;PPT;Battery_System_1;Battery_System_2;Battery_System_3;PCDU;Power_Bus,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Thermal_Subsystem,Thermal_Subsystem,Cartridge_Heater;Patch_Heater;Internal_Electronics;Heat_Pipes;Radiator,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Communications,Communications,APM;K_Band_Transmitter;K_Band_Antenna;S_Band_Transciever;S_Band_Antenna,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Propulsion_Subsystem,Propulsion_Subsystem,Nitrogen;Hyrdazine;1N_Thrusters;20N_Thrusters;Total_Delta_V,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBDH,OBDH,1553_Data_Bus;SpaceWire;OBC;Remote_Interface_Unit;Mass_Memory,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Solar_Array_1,Solar_Array,Array_Area,PPT,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Solar_Array_2,Solar_Array,Array_Area,PPT,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
PPT,Regulated_Peak_Power_Tracker,NONE,PCDU,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Battery_System_1,Battery,NONE,PCDU,NONE,NONE,NONE,Patch_Heater,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Battery_System_2,Battery,NONE,PCDU,NONE,NONE,NONE,Patch_Heater,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Battery_System_3,Battery,NONE,PCDU,NONE,NONE,NONE,Patch_Heater,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
PCDU,PCDU,NONE,Power_Bus,1553_Data_Bus,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Power_Bus,Power_Bus,Bus_Voltage,NONE,NONE,NONE,NONE,NONE,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
OBC,Onboard_Computer,NONE,Power_Bus,1553_Data_Bus;SpaceWire,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
Remote_Interface_Unit,Remote_Interface_Unit,NONE,Power_Bus,1553_Data_Bus,NONE,NONE,Heat_Pipes,NONE,1,NONE,NONE,NONE,NONE,NONE,NONE
